Index,FileName,formation_annotatoed,Duration_sec,GPSCoordinates,LocalTime,TripNo,FlightNo,whales,Glare,Sea,Focus,Exposure,Quality Rating,interspecies_status,nadir_shot_available,snapshot_taken,MainActivity,flipper_visible,reason_not taken?,morphometrix_measured,Sleap_Lables_for_Training,pMales,pAdults,pCalves,pOtherSpecies,MaxNumber,Describe,OriginalFileName,exclude for other reasons?,,,
1,/Volumes/GalDron23B/Drone_2023/2012023/Gal2023_DJIMini2_20230129_153451.MP4,,187.654133,-92.586,2023-01-29 15:34,1,1,field,,,,,,,,,NA,,,,,NA,NA,NA,NA,NA,NA,/Volumes/GalDron23B/Drone_2023/02012023/DJI_0006.MP4,,,,
2,/Volumes/GalDron23B/Drone_2023/2012023/Gal2023_DJIMini2_20230201_082347.MP4,,306.8065,-92.7879,2023-02-01 08:23,1,2,whales,1,1,0,0,2,,no,yes,foraging,yes,,no,,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02012023/DJI_0007.MP4,,,,
3,/Volumes/GalDron23B/Drone_2023/2012023/Gal2023_DJIMini2_20230201_091905.MP4,,574.540633,-92.7953,2023-02-01 09:19,1,3,whales,1,1,0,0,2,,no,yes,foraging,yes,,no,,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02012023/DJI_0008.MP4,,,,
4,/Volumes/GalDron23B/Drone_2023/2012023/Gal2023_DJIMini2_20230201_111757.MP4,,424.190433,-92.7537,2023-02-01 11:17,1,4,whales,2,1,0,0,3,,no,yes,foraging,yes,,no,26,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02012023/DJI_0009.MP4,,,,
5,/Volumes/GalDron23B/Drone_2023/2012023/Gal2023_DJIMini2_20230201_120856.MP4,,371.838133,-92.7471,2023-02-01 12:08,1,5,whales,2,1,0,0,3,,no,yes,foraging,yes,,no,,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02012023/DJI_0010.MP4,,,,
6,/Volumes/GalDron23B/Drone_2023/2012023/Gal2023_DJIMini2_20230201_130107.MP4,,624.957667,-92.7623,2023-02-01 13:01,1,6,whales,1,1,0,0,2,,yes,yes,foraging,yes,,yes,,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02012023/DJI_0011.MP4,,,,
7,/Volumes/GalDron23B/Drone_2023/2012023/Gal2023_DJIMini2_20230201_135502.MP4,,739.772367,-92.7434,2023-02-01 13:55,1,7,whales,1,1,0,0,2,,yes,yes,foraging,yes,,yes,,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02012023/DJI_0012.MP4,,,,
8,/Volumes/GalDron23B/Drone_2023/2012023/Gal2023_DJIMini2_20230201_154208.MP4,,589.822567,-92.7699,2023-02-01 15:42,1,8,whales,0,1,0,1,2,,yes,yes,foraging,yes,,yes,,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02012023/DJI_0013.MP4,,,,
9,/Volumes/GalDron23B/Drone_2023/2012023/Gal2023_DJIMini2_20230201_182219.MP4,,631.197233,-92.8152,2023-02-01 18:22,1,9,whales,0,1,1,1,3,,yes,yes,foraging,yes,,yes,,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02012023/DJI_0014.MP4,,,,
10,/Volumes/GalDron23B/Drone_2023/2082023/Gal2023_DJIMini2_20230208_073710.MP4,,388.221167,-92.5058,2023-02-08 07:37,1,10,whales,1,1,0,0,2,,no,na,foraging,na,,no,,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02082023/DJI_0015.MP4,not perpendicular,,,
11,/Volumes/GalDron23B/Drone_2023/2082023/Gal2023_DJIMini2_20230208_084058.MP4,,433.499733,-92.51,2023-02-08 08:40,1,11,whales,0,1,0,0,1,,yes,yes,foraging,no,,yes,21,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02082023/DJI_0016.MP4,,,,
12,/Volumes/GalDron23B/Drone_2023/2082023/Gal2023_DJIMini2_20230208_111055.MP4,,561.193967,-92.4971,2023-02-08 11:10,1,12,whales,2,1,0,0,3,,no,no,foraging,na,,no,,yes,no,no,no,1,single male,/Volumes/GalDron23B/Drone_2023/02082023/DJI_0017.MP4,,,,
13,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_093319.MP4,,427.560467,-89.0354,2023-02-15 09:33,2,13,whales,0,0,0,0,0,,yes,yes,foraging,yes,,yes,,no,yes,no,no,1,single adult/juvenile,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0020.MP4,,,,
14,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_094557.MP4,yes,582.648733,-89.0304,2023-02-15 09:45,2,14,whales,0,0,1,0,1,,yes,yes,foraging,yes,,yes,,no,yes,yes,no,2,adult calf pair,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0021.MP4,,,,
15,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_100731.MP4,,0.06673333,-89.0141,2023-02-15 10:07,2,15,blank,,,,,,,,,NA,,,,,NA,NA,NA,NA,NA,blank,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0022.MP4,,,,
16,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_100734.MP4,,293.326367,-89.0141,2023-02-15 10:07,2,15,whales,0,0,0,0,NA,,,,breathing,,,,,no,yes,no,no,1,subsurface whale - poor quality,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0023.MP4,whale time too short,,,
17,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_101509.MP4,,621.4208,-89.0143,2023-02-15 10:15,2,16,whales,0,0,1,0,1,,yes,yes,breathing,no,,yes,,no,yes,yes,no,1 + 2,2 clusters,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0024.MP4,,,,
18,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_103018.MP4,yes,628.094133,-89.0197,2023-02-15 10:30,2,17,whales,1,1,0,0,2,,no,na,socializing,na,,no,40,no,yes,yes,no,6,2 clusters joining and splitting,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0025.MP4,,,,
19,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_104617.MP4,,511.744567,-89.0224,2023-02-15 10:46,2,18,whales,2,0,0,0,2,,no,na,socializing,na,"no good surface whales, but good genital images",no,,no,yes,yes,no,4,1 cluster body rubbing,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0026.MP4,,,,
20,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_145125.MP4,,752.718633,-88.9571,2023-02-15 14:51,2,19,whales,0,1,0,0,1,,yes,yes,breathing,yes,,yes,,no,yes,no,no,2,1 cluster,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0028.MP4,,,,
21,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_151140.MP4,,619.2186,-88.9545,2023-02-15 15:11,2,20,whales,0,0,1,0,1,,no,na,breathing,na,,no,,no,yes,no,no,2,1 cluster,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0029.MP4,,,,
22,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_152449.MP4,yes,770.136033,-88.9495,2023-02-15 15:24,2,21,whales,0,0,0,0,0,,yes,yes,breathing,yes,,yes,,no,yes,no,no,2,1 cluster,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0030.MP4,,,,
23,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_155136.MP4,,343.309633,-88.9398,2023-02-15 15:51,2,22,whales,0,0,0,0,0,,yes,yes,foraging,yes,,yes,,no,yes,no,no,1,single adult/juvenile,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0031.MP4,,,,
24,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_160121.MP4,,563.7632,-88.9335,2023-02-15 16:01,2,23,whales,0,0,0,0,0,,no,na,foraging/socializing,na,,no,,no,yes,yes,no,1,adult calf pair,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0032.MP4,,,,
25,/Volumes/GalDron23B/Drone_2023/2152023/Gal2023_DJIMini2_20230215_174209.MP4,,656.622633,-88.9445,2023-02-15 17:42,2,24,whales,0,0,0,1,1,,yes,yes,foraging/socializing,yes,,yes,,no,yes,no,no,3,1 cluster that splits,/Volumes/GalDron23B/Drone_2023/02152023/DJI_0033.MP4,,,,
