"imagePath","pixelDimension","totalLength_px","headFinLength_px","notes"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_130107.MP4_00_03_55_vlc00001.png",0.0045,709.13,281.81,"male"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_130107/Gal2023_DJIMini2_20230201_130107_120.120.png",0.0045,669.83,273.56,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_130107/Gal2023_DJIMini2_20230201_130107_174.541.png",0.0045,819.15,329.29,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_135502.MP4_00_03_26_vlc00002.png",0.0045,786.94,326.22,"male"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_135502/ind1/Gal2023_DJIMini2_20230201_135502_244.377.png",0.0045,811.11,325.46,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_135502/ind1/Gal2023_DJIMini2_20230201_135502_330.497.png",0.0045,676.18,269.8,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_154208.MP4_00_00_49_vlc00003.png",0.0045,787.66,314.33,"male"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_154208/ind1/Gal2023_DJIMini2_20230201_154208_61.929.png",0.0045,774.4,312.75,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_182219.MP4_00_03_28_vlc00001.png",0.0045,678.53,271,"male"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_182219/Gal2023_DJIMini2_20230201_182219_235.802.png",0.0045,672.9,254.25,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_182219/Gal2023_DJIMini2_20230201_182219_67.568.png",0.0045,647.63,252.66,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230208/Gal2023_DJIMini2_20230208_084058_112.779.png",0.0045,740.65,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230208/Gal2023_DJIMini2_20230208_084058_138.005.png",0.0045,788.9,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_093319.MP4_00_01_39_vlc00002.png",0.0045,580.95,176.55,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_093319/Gal2023_DJIMini2_20230215_093319_107.574.png",0.0045,646.6,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_093319/Gal2023_DJIMini2_20230215_093319_150.984.png",0.0045,716.76,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png",0.0045,503.8,156.05,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_135.335.png",0.0045,587.9,203.59,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_70.938.png",0.0045,542.17,171.39,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png",0.0045,340.65,98.11,"cj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_155.355.png",0.0045,535.35,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_249.516.png",0.0045,555.97,152.8,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_101509.MP4_00_06_40_vlc00001.png",0.0045,559.88,NA,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_101509/Gal2023_DJIMini2_20230215_101509_271.905.png",0.0045,327.5,NA,""
